period,series_id,turnover
2001-01-01,A3348636C,1470.8
2001-02-01,A3348636C,1338.0
2001-03-01,A3348636C,1521.2
2001-04-01,A3348636C,1441.3
2001-05-01,A3348636C,1446.1
2001-06-01,A3348636C,1397.6
2001-07-01,A3348636C,1477.4
2001-08-01,A3348636C,1504.6
2001-09-01,A3348636C,1437.2
2001-10-01,A3348636C,1488.5
2001-11-01,A3348636C,1482.9
2001-12-01,A3348636C,1611.4
2002-01-01,A3348636C,1482.1
2002-02-01,A3348636C,1329.8
2002-03-01,A3348636C,1478.9
2002-04-01,A3348636C,1460.4
2002-05-01,A3348636C,1481.9
2002-06-01,A3348636C,1424.9
2002-07-01,A3348636C,1527.3
2002-08-01,A3348636C,1551.6
2002-09-01,A3348636C,1495.1
2002-10-01,A3348636C,1556.6
2002-11-01,A3348636C,1571.9
2002-12-01,A3348636C,1734.0
2003-01-01,A3348636C,1620.4
2003-02-01,A3348636C,1421.8
2003-03-01,A3348636C,1574.2
2003-04-01,A3348636C,1589.1
2003-05-01,A3348636C,1657.4
2003-06-01,A3348636C,1554.2
2003-07-01,A3348636C,1699.4
2003-08-01,A3348636C,1737.8
2003-09-01,A3348636C,1709.4
2003-10-01,A3348636C,1878.4
2003-11-01,A3348636C,1838.4
2003-12-01,A3348636C,2048.3
2004-01-01,A3348636C,1895.2
2004-02-01,A3348636C,1765.8
2004-03-01,A3348636C,1872.8
2004-04-01,A3348636C,1873.7
2004-05-01,A3348636C,1846.2
2004-06-01,A3348636C,1758.5
2004-07-01,A3348636C,1878.2
2004-08-01,A3348636C,1850.1
2004-09-01,A3348636C,1921.5
2004-10-01,A3348636C,1914.5
2004-11-01,A3348636C,1839.9
2004-12-01,A3348636C,2041.9
2005-01-01,A3348636C,1798.7
2005-02-01,A3348636C,1661.2
2005-03-01,A3348636C,1780.3
2005-04-01,A3348636C,1809.0
2005-05-01,A3348636C,1788.9
2005-06-01,A3348636C,1768.9
2005-07-01,A3348636C,1869.0
2005-08-01,A3348636C,1813.4
2005-09-01,A3348636C,1845.8
2005-10-01,A3348636C,1978.1
2005-11-01,A3348636C,1965.0
2005-12-01,A3348636C,2152.8
2006-01-01,A3348636C,1913.8
2006-02-01,A3348636C,1750.1
2006-03-01,A3348636C,1983.8
2006-04-01,A3348636C,1966.5
2006-05-01,A3348636C,2005.1
2006-06-01,A3348636C,1943.6
2006-07-01,A3348636C,2019.2
2006-08-01,A3348636C,2043.2
2006-09-01,A3348636C,2038.7
2006-10-01,A3348636C,2113.3
2006-11-01,A3348636C,2109.4
2006-12-01,A3348636C,2297.3
2007-01-01,A3348636C,2097.1
2007-02-01,A3348636C,1939.0
2007-03-01,A3348636C,2191.9
2007-04-01,A3348636C,2134.0
2007-05-01,A3348636C,2145.5
2007-06-01,A3348636C,2133.8
2007-07-01,A3348636C,2178.4
2007-08-01,A3348636C,2257.9
2007-09-01,A3348636C,2179.5
2007-10-01,A3348636C,2257.3
2007-11-01,A3348636C,2284.6
2007-12-01,A3348636C,2461.1
2008-01-01,A3348636C,2163.5
2008-02-01,A3348636C,2086.7
2008-03-01,A3348636C,2159.4
2008-04-01,A3348636C,2148.2
2008-05-01,A3348636C,2176.7
2008-06-01,A3348636C,2089.9
2008-07-01,A3348636C,2172.6
2008-08-01,A3348636C,2204.0
2008-09-01,A3348636C,2124.2
2008-10-01,A3348636C,2302.4
2008-11-01,A3348636C,2242.8
2008-12-01,A3348636C,2479.4
2009-01-01,A3348636C,2318.3
2009-02-01,A3348636C,2069.5
2009-03-01,A3348636C,2303.2
2009-04-01,A3348636C,2326.9
2009-05-01,A3348636C,2401.7
2009-06-01,A3348636C,2263.0
2009-07-01,A3348636C,2415.1
2009-08-01,A3348636C,2446.1
2009-09-01,A3348636C,2430.7
2009-10-01,A3348636C,2602.0
2009-11-01,A3348636C,2569.9
2009-12-01,A3348636C,2897.1
2010-01-01,A3348636C,2521.3
2010-02-01,A3348636C,2323.9
2010-03-01,A3348636C,2607.5
2010-04-01,A3348636C,2535.8
2010-05-01,A3348636C,2571.4
2010-06-01,A3348636C,2504.9
2010-07-01,A3348636C,2781.3
2010-08-01,A3348636C,2800.0
2010-09-01,A3348636C,2742.8
2010-10-01,A3348636C,2730.2
2010-11-01,A3348636C,2684.4
2010-12-01,A3348636C,3021.1
2011-01-01,A3348636C,2598.2
2011-02-01,A3348636C,2391.3
2011-03-01,A3348636C,2648.9
2011-04-01,A3348636C,2598.9
2011-05-01,A3348636C,2604.1
2011-06-01,A3348636C,2519.5
2011-07-01,A3348636C,2701.9
2011-08-01,A3348636C,2739.6
2011-09-01,A3348636C,2744.3
2011-10-01,A3348636C,2814.4
2011-11-01,A3348636C,2784.2
2011-12-01,A3348636C,3046.6
2012-01-01,A3348636C,2729.5
2012-02-01,A3348636C,2556.0
2012-03-01,A3348636C,2839.3
2012-04-01,A3348636C,2737.4
2012-05-01,A3348636C,2836.7
2012-06-01,A3348636C,2784.8
2012-07-01,A3348636C,2932.2
2012-08-01,A3348636C,2962.7
2012-09-01,A3348636C,2885.9
2012-10-01,A3348636C,2966.7
2012-11-01,A3348636C,2973.1
2012-12-01,A3348636C,3177.5
2013-01-01,A3348636C,2849.6
2013-02-01,A3348636C,2607.7
2013-03-01,A3348636C,2924.0
2013-04-01,A3348636C,2853.5
2013-05-01,A3348636C,2901.5
2013-06-01,A3348636C,2813.0
2013-07-01,A3348636C,2968.4
2013-08-01,A3348636C,3065.1
2013-09-01,A3348636C,2988.7
2013-10-01,A3348636C,3175.4
2013-11-01,A3348636C,3210.8
2013-12-01,A3348636C,3536.8
2014-01-01,A3348636C,3209.1
2014-02-01,A3348636C,2879.9
2014-03-01,A3348636C,3232.0
2014-04-01,A3348636C,3182.1
2014-05-01,A3348636C,3228.3
2014-06-01,A3348636C,3067.5
2014-07-01,A3348636C,3315.8
2014-08-01,A3348636C,3350.7
2014-09-01,A3348636C,3360.4
2014-10-01,A3348636C,3401.6
2014-11-01,A3348636C,3374.9
2014-12-01,A3348636C,3692.7
2015-01-01,A3348636C,3391.3
2015-02-01,A3348636C,3027.5
2015-03-01,A3348636C,3361.9
2015-04-01,A3348636C,3266.5
